Transcripts - Forever Dreaming :: Smallville Transcript Index - Smallville 
 
 
 Transcripts - Forever Dreaming https://transcripts.foreverdreaming.org/ 
 
 
 
 
 
 Smallville Transcript Index https://transcripts.foreverdreaming.org/viewtopic.php?f=25&t=4421 
 Page  1  of  1 
 
 
 
 
 
 Author:  
 bunniefuu  [ 08/04/02 13:29 ] 
 
 
 Post subject:  
 Smallville Transcript Index 
 
 
 
 
 
  Transcripts Topic Print  
 
 
 
 
 We work very hard providing Smallville transcripts for you. You are more than welcome to link to them. You may even save or print a copy for your personal use (click on the link at the top left of each transcript that says print view to read the transcripts with black font on white). However, you may not republish anything from foreverdreaming.org without obtaining written permission!  Read our Copyrights 
 Some of these transcripts require more work and if you would like to help edit them please let us know.   Contact us 
 Season 1 
 1.01 -  Pilot  - October 16, 2001 
 4.18 -  Spirit  - April 20, 2005 
 4.19 -  Blank  - April 27, 2005 
 4.20 -  Ageless  - May 4, 2005 
 4.21 -  Forever  - May 11, 2005 
 4.22 -  Commencement  - May 18, 2005 
 Season 5 
 5.01 -  Arrival  - September 29, 2005 
 5.02 -  Mortal  - October 6, 2005 
 5.03 -  Hidden  - October 13, 2005 
 5.04 -  Aqua  - October 20, 2005 
 5.05 -  Thirst  - October 27, 2005 
 5.06 -  Exposed  - November 3, 2005 
 5.07 -  Splinter  - November 10, 2005 
 5.08 -  Solitude  - November 17, 2005 
 5.09 -  Lexmas  - December 8, 2005 
 5.10 -  Fanatic  - January 12, 2006 
 5.11 -  Lockdown  - January 19, 2006 
 5.12 -  Reckoning  - January 26, 2006 
 5.13 -  Vengeance  - February 2, 2006 
 5.14 -  Tomb  - February 9, 2006 
 5.15 -  Cyborg  - February 16, 2006 
 5.16 -  Hypnotic  - March 30, 2006 
 5.17 -  Void  - April 6, 2006 
 5.18 -  Fragile  - April 13, 2006 
 5.19 -  Mercy  - April 20, 2006 
 5.20 -  Fade  - April 27, 2006 
 5.21 -  Oracle  - May 4, 2006 
 5.22 -  Vessel  - May 11, 2006 
 
 
 
 Season 6 
 6.01 -  Zod  - September 28, 2006 
 6.02 -  Sneeze  - October 5, 2006 
 6.03 -  Wither  - October 12, 2006 
 6.04 -  Arrow  - October 19, 2006 
 6.05 -  Reunion  - October 26, 2006 
 6.06 -  Fallout  - November 2, 2006 
 6.07 -  Rage  - November 9, 2006 
 6.08 -  Static  - November 16, 2006 
 6.09 -  Subterranean  - December 7, 2006 
 6.10 -  Hydro  - January 11, 2007 
 6.11 -  Justice  - January 18, 2007 
 6.12 -  Labyrinth  - January 25, 2007 
 6.13 -  Crimson  - February 1, 2007 
 6.14 -  Trespass  - February 8, 2007 
 6.15 -  Freak  - February 15, 2007 
 6.16 -  Promise  - March 15, 2007 
 6.17 -  Combat  - March 22, 2007 
 6.18 -  Progeny  - April 19, 2007 
 6.19 -  Nemesis  - April 26, 2007 
 6.20 -  Noir  - May 3, 2007 
 6.21 -  Prototype  - May 10, 2007 
 6.22 -  Phantom  - May 17, 2007 
 Season 7 
 7.01 -  Bizarro  - September 27, 2007 
 7.02 -  Kara  - October 4, 2007 
 7.03 -  Fierce  - October 11, 2007 
 7.04 -  Cure  - October 18, 2007 
 7.05 -  Action  - October 25, 2007 
 7.06 -  Lara  - November 1, 2007 
 7.07 -  Wrath  - November 8, 2007 
 7.08 -  Blue  - November 15, 2007 
 7.09 -  Gemini  - December 13, 2007 
 7.10 -  Persona  - January 31, 2008 
 7.11 -  Siren  - February 7, 2008 
 7.12 -  Fracture  - February 14, 2008 
 7.13 -  Hero  - March 13, 2008 
 7.14 -  Traveler  - March 20, 2008 
 7.15 -  Veritas  - March 27, 2008 
 7.16 -  Descent  - April 17, 2008 
 7.17 -  Sleeper  - April 24, 2008 
 7.18 -  Apocalypse  - May 1, 2008 
 7.19 -  Quest  - May 8, 2008 
 7.20 -  Arctic  - May 15, 2008 
 Season 8 
 8.01 -  Odyssey  - September 18, 2008 
 8.02 -  Plastique  - September 25, 2008 
 8.03 -  Toxic  - October 2, 2008 
 8.04 -  Instinct  - October 9, 2008 
 8.05 -  Committed  - October 16, 2008 
 8.06 -  Prey  - October 23, 2008 
 8.07 -  Identity  - October 30, 2008 
 8.08 -  Bloodline  - November 6, 2008 
 8.09 -  Abyss  - November 13, 2008 
 8.10 -  Bride  - November 20, 2008 
 8.11 -  Legion  - January 15, 2009 
 8.12 -  Bulletproof  - January 22, 2009 
 8.13 -  Power  - January 29, 2009 
 8.14 -  Requiem  - February 5, 2009 
 8.15 -  Infamous  - March 12, 2009 
 8.16 -  Turbulence  - March 19, 2009 
 8.17 -  Hex  - March 26, 2009 
 8.18 -  Eternal  - April 2, 2009 
 8.19 -  Stiletto  - April 23, 2009 
 8.20 -  Beast  - April 30, 2009 
 8.21 -  Injustice  - May 7, 2009 
 8.22 -  Doomsday  - May 14, 2009 
 Season 9 
 9.01 -  Savior  - September 25, 2009 
 9.02 -  Metallo  - October 2, 2009 
 9.03 -  Rabid  - October 9, 2009 
 9.04 -  Echo  - October 16, 2009 
 9.05 -  Roulette  - October 23, 2009 
 9.06 -  Crossfire  - October 30, 2009 
 9.07 -  Kandor  - November 6, 2009 
 9.08 -  Idol  - November 13, 2009 
 9.09 -  Pandora  - November 20, 2009 
 9.10 -  Disciple  - January 29, 2010 
 9.11 -  Absolute Justice  - February 5, 2010 
 9.12 -  Warrior  - February 12, 2010 
 9.13 -  Persuasion  - February 19, 2010 
 9.14 -  Conspiracy  - February 26, 2010 
 9.15 -  Escape  - April 2, 2010 
 9.16 -  Checkmate  - April 9, 2010 
 9.17 -  Upgrade  - April 16, 2010 
 9.18 -  Charade  - April 23, 2010 
 9.19 -  Sacrifice  - April 30, 2010 
 9.20 -  Hostage  - May 7, 2010 
 9.21 -  Salvation  - May 14, 2010 
 Season 10 
 10.01 -  Lazarus  - September 24, 2010 
 10.02 -  Shield  - October 1, 2010 
 10.03 -  Supergirl  - October 8, 2010 
 10.04 -  Homecoming  - October 15, 2010 
 10.05 -  Isis  - October 22, 2010 
 10.06 -  Harvest  - October 29, 2010 
 10.07 -  Ambush  - November 5, 2010 
 10.08 -  Abandoned  - November 12, 2010 
 10.09 -  Patriot  - November 19, 2010 
 10.10 -  Luthor  - December 3, 2010 
 10.11 -  Icarus  - December 10, 2010 
 10.12 -  Collateral  - February 4, 2011 
 10.13 -  Beacon  - February 11, 2011 
 10.14 -  Masquerade  - February 18, 2011 
 10.15 -  Fortune  - February 25, 2011 
 10.16 -  Scion  - March 4, 2011 
 10.17 -  Kent  - April 15, 2011 
 10.18 -  Booster  - April 22, 2011 
 10.19 -  Dominion  - April 29, 2011 
 10.20 -  Prophecy  - May 6, 2011 
 10.21&22 -  Finale  - May 13, 2011 
 Bonus:  Pilot Script Download 
 Can't find the show or information you're looking for on our site? Try eBay or Amazon for actual  Smallville episode scripts , movie screenplays and/or spoilers. 
 
 
  Transcripts Topic Print  
 
 
 
 
 
 
 
 
 
 Page  1  of  1 
 All times are UTC - 5 hours  
 
 
 
 
 
 
 © Copyright Forever Dreaming. All rights reserved. http://foreverdreaming.org 
 
 
 
 
 
